target,symbol,calendarYear,fillingDate,brent,chicagoFedFinancialConditions,consumerSentiment,corePCE,GDP,interest10Y,interest10Y3M,interest10YIInflationAdjusted,interest20Y,interest3M,inventorySalesRatio,leadingIndex,monthlySupplyHouses,moodysAaa20Y,moodysBaa20Y,mortgage30Y,nasdaq,stlouisFredFinancialStress,unemployment,volatility,wilshire5000,wti,brentYearOverYear,chicagoFedFinancialConditionsYearOverYear,consumerSentimentYearOverYear,corePCEYearOverYear,GDPYearOverYear,interest10YYearOverYear,interest10Y3MYearOverYear,interest10YIInflationAdjustedYearOverYear,interest20YYearOverYear,interest3MYearOverYear,inventorySalesRatioYearOverYear,leadingIndexYearOverYear,monthlySupplyHousesYearOverYear,moodysAaa20YYearOverYear,moodysBaa20YYearOverYear,mortgage30YYearOverYear,nasdaqYearOverYear,stlouisFredFinancialStressYearOverYear,unemploymentYearOverYear,volatilityYearOverYear,wilshire5000YearOverYear,wtiYearOverYear,brentSMA3,chicagoFedFinancialConditionsSMA3,consumerSentimentSMA3,corePCESMA3,GDPSMA3,interest10YSMA3,interest10Y3MSMA3,interest10YIInflationAdjustedSMA3,interest20YSMA3,interest3MSMA3,inventorySalesRatioSMA3,leadingIndexSMA3,monthlySupplyHousesSMA3,moodysAaa20YSMA3,moodysBaa20YSMA3,mortgage30YSMA3,nasdaqSMA3,stlouisFredFinancialStressSMA3,unemploymentSMA3,volatilitySMA3,wilshire5000SMA3,wtiSMA3,previousMarketCap,targetYoY,totalAssets,netDebt,revenue,freeCashFlow,revenueYoY,revenueYoYSMA3,netDebtYoY,netDebtYoYSMA3,freeCashFlowYoY,freeCashFlowYoYSMA3,cashAndCashEquivalentsToAssets,shortTermInvestmentsToAssets,netReceivablesToAssets,inventoryToAssets,otherCurrentAssetsToAssets,propertyPlantEquipmentNetToAssets,intangibleAssetsToAssets,longTermInvestmentsToAssets,otherNonCurrentAssetsToAssets,accountPayablesToAssets,shortTermDebtToAssets,deferredRevenueToAssets,otherCurrentLiabilitiesToAssets,longTermDebtToAssets,otherNonCurrentLiabilitiesToAssets,retainedEarningsToAssets,totalStockholdersEquityToAssets,netDebtToAssets,costOfRevenueToRevenue,researchAndDevelopmentExpensesToRevenue,sellingGeneralAndAdministrativeExpensesToRevenue,ebitdaToRevenue,operatingIncomeToRevenue,netIncomeToRevenue,costOfRevenueToRevenueYearOverYear,researchAndDevelopmentExpensesToRevenueYearOverYear,sellingGeneralAndAdministrativeExpensesToRevenueYearOverYear,ebitdaToRevenueYearOverYear,operatingIncomeToRevenueYearOverYear,netIncomeToRevenueYearOverYear,costOfRevenueToRevenueYearOverYearSMA3,researchAndDevelopmentExpensesToRevenueYearOverYearSMA3,sellingGeneralAndAdministrativeExpensesToRevenueYearOverYearSMA3,ebitdaToRevenueYearOverYearSMA3,operatingIncomeToRevenueYearOverYearSMA3,netIncomeToRevenueYearOverYearSMA3,stockBasedCompensationToRevenue,depreciationAndAmortizationToRevenue,changeInWorkingCapitalToRevenue,freeCashFlowToRevenue,capitalExpenditureToRevenue,acquisitionsNetToRevenue,purchasesOfInvestmentsToRevenue,dividendsPaidToRevenue,netSharesRepurchasedToRevenue,stockBasedCompensationToRevenueYearOverYear,depreciationAndAmortizationToRevenueYearOverYear,changeInWorkingCapitalToRevenueYearOverYear,freeCashFlowToRevenueYearOverYear,capitalExpenditureToRevenueYearOverYear,acquisitionsNetToRevenueYearOverYear,purchasesOfInvestmentsToRevenueYearOverYear,dividendsPaidToRevenueYearOverYear,stockBasedCompensationToRevenueYearOverYearSMA3,depreciationAndAmortizationToRevenueYearOverYearSMA3,changeInWorkingCapitalToRevenueYearOverYearSMA3,freeCashFlowToRevenueYearOverYearSMA3,capitalExpenditureToRevenueYearOverYearSMA3,acquisitionsNetToRevenueYearOverYearSMA3,purchasesOfInvestmentsToRevenueYearOverYearSMA3,dividendsPaidToRevenueYearOverYearSMA3,freeCashFlowGivenToShareholders,PPEtoSales,netDebtToEBITDA,roe
28.3358576598676,A,2019,2019-12-19,69.7,-0.5444628571428571,99.59032258064516,112.94941935483872,21511.477684782607,1.92,0.35,0.15,2.21,1.54,1.4241935483870969,1.532258064516129,5.183870967741935,3.01,3.88,3.73,8887.219,-0.4342142857142857,3.541935483870968,12.5,32654.3,61.3,0.3190764572293716,0.2696473127879513,0.06005356407086948,0.017204053672464026,0.025477534391414203,-0.31182795698924737,-0.1250000000000001,-0.854368932038835,-0.24315068493150682,-0.3418803418803418,0.01284698325303979,0.5382124352331608,-0.24553990610328646,-0.23797468354430384,-0.23471400394477326,-0.1926406926406926,0.36131530422587055,1.7345928924876288,-0.10586319218241036,-0.5595489781536294,0.28898264306514054,0.34312007011393497,62.39333333333334,-0.5370728571428572,96.43655913978496,110.98175268817205,20867.01716666667,2.3966666666666665,0.6266666666666666,0.5766666666666667,2.6033333333333335,1.7366666666666664,1.397741935483871,1.3511827956989244,5.870967741935484,3.5033333333333334,4.406666666666665,4.096666666666667,7460.328333333334,-0.4239476190476191,3.846236559139785,16.833333333333332,28620.55,55.093333333333334,23.506785369207616,0.2054331213227376,10.140274111782476,0.9901131064510396,5.539412666962857,0.9288968148213969,0.032936369605414795,0.05248666179807652,-2.758576158278952,-0.8612190046097327,-0.06542416481660784,0.0861119801640114,0.14619800840909833,0.0,0.09838216195402423,0.07182955695352951,0.0209458796418245,0.08991918028055977,0.11710650890656431,0.010790301633667164,0.06463602253108472,0.03744869390508018,0.06516495888567625,0.035544523028550684,0.08187934769076854,0.18946500221468532,0.08812079667494857,-0.0019041708765294963,0.5023766776002904,0.09764165105759608,0.456628684374443,0.0782349399861217,0.282730228662717,0.23856489102616202,0.1822254418983676,0.20740005129984246,0.007764826015161708,-0.0012512517933431777,0.011350597674927743,-0.04820994345724838,-0.03488901330432592,2.2258041820073933,-0.014335989034824729,0.0001660396599361865,-0.01652545257709966,0.05600919554438433,0.08475037557099363,0.6791297504666636,0.013942860591586033,0.04608890028885387,-0.3036445195500961,0.167688683018933,-0.03020953128176976,-0.2726603849021271,-0.00445396935564554,-0.03989207335926006,0.14000955844050986,-0.021028454728129198,0.07868161006808094,5.5169770020039195,-0.09522419513565639,-0.161144909418641,1.5970993621338185,0.9900810453127793,0.02652484604569416,0.004249890330813984,-0.07002420775023661,-2.531966469110281,0.030101392048796433,-0.018718873260396045,1.257499417949167,3.0041847578457284,0.03797616333343138,1.0728310853240943,0.16460321531733527,0.7492289665157383,0.225524337026747
38.848967433127605,A,2020,2020-12-18,52.17,-0.62217,79.76774193548387,114.6321935483871,21952.912891304342,0.95,0.87,-1.0,1.49,0.08,1.3225806451612905,1.72,3.6903225806451614,2.32,3.19,2.6685714285714286,12755.64,-0.4276,6.535483870967743,21.57,39130.67,49.04,-0.25150645624103296,0.14272257847839542,-0.19904123344022284,0.014898475823605706,0.02052091506637921,-0.5052083333333333,1.4857142857142858,-7.666666666666667,-0.32579185520361986,-0.948051948051948,-0.07134767836919587,0.1225263157894736,-0.2881144990665836,-0.22923588039867104,-0.1778350515463918,-0.28456530065109154,0.43527913512652283,-0.015232768547458475,0.8451730418943537,0.7256,0.19833130705603863,-0.19999999999999996,58.23666666666667,-0.5318209523809524,91.10215053763442,112.87356989247313,21480.47504710145,1.8866666666666667,0.54,0.05999999999999994,2.206666666666667,1.3199999999999998,1.384301075268817,1.4161290322580644,5.248387096774193,3.0933333333333333,4.046666666666666,3.6728571428571435,9390.421666666667,-0.34020000000000006,4.679569892473118,20.816666666666666,32372.786666666663,51.99333333333333,28.3358576598676,0.3710178777524651,10.183503790506148,0.6367369564645993,5.648075103927736,0.8492784735624732,0.01961623794756151,0.04352250242840716,-0.35690483004823703,-1.162208163424247,-0.08571279391697795,0.03355855767416157,0.14966846942317727,0.01641056083890493,0.107811152853059,0.07478230255703514,0.006024129928205605,0.0877653411954093,0.08631124086791139,0.01641056083890493,0.08059870386702676,0.0367679654238756,0.0077898231830244935,0.04009162331529939,0.06771952953775962,0.2372260820003726,0.10417590203431423,0.008413009037666452,0.5062290745053539,0.06252631408240991,0.46854402963835967,0.0926975598205388,0.28015262523540607,0.23014208399548486,0.15842855678419357,0.13464554648680283,0.02609416725591851,0.18486139104833033,-0.009116829988440656,-0.03530614666075693,-0.13059035481689896,-0.35079308976571544,0.005423889546754879,0.07238870275647262,0.006557149740388124,-0.01985431036315355,-0.05375614250499894,0.4318170054626786,0.015543227202231747,0.057678481666113016,0.1571176822008728,0.15036600221053634,-0.02228486791645276,0.0,-0.0037453559523449908,-0.04157345107102952,0.07659252922545529,0.11478036376634737,0.25146144309418395,-1.5174395455372318,-0.10330262303056448,-0.2623232810665691,-1.0,-0.15909705404738828,0.04214816554224465,0.05183192270555977,0.07720789607629415,0.678232930291849,-0.012435553523976961,-0.16941039835943017,1.1080123299731455,3.2805706018115135,0.030386371510801924,0.7858557024814268,0.1582412889865763,0.48985049673833875,0.14751906203905393
47.60320819507354,A,2021,2021-11-22,80.97,-0.6070671428571428,69.64,119.9121,24008.472,1.63,1.58,-0.98,2.03,0.05,1.278,1.72,5.640000000000001,2.7,3.34,3.1,15854.76,-0.6678999999999999,3.99,19.17,48302.43,76.74,0.5520414031052328,-0.02427448630254947,-0.12696538337107732,0.046059543032160644,0.09363491391203382,0.7157894736842105,0.8160919540229885,-0.020000000000000018,0.36241610738255026,-0.375,-0.03370731707317087,0.0,0.5283216783216784,0.16379310344827602,0.047021943573667624,0.16167023554603865,0.24296076088694885,0.5619738072965388,-0.38948667324777897,-0.11126564673157158,0.23438801328983128,0.5648450244698204,67.61333333333333,-0.5912333333333334,82.99935483870968,115.8312376344086,22490.95419202898,1.5,0.9333333333333335,-0.61,1.9100000000000001,0.5566666666666665,1.3415913978494622,1.6574193548387097,4.838064516129033,2.6766666666666663,3.4699999999999993,3.166190476190476,12499.206333333334,-0.509904761904762,4.689139784946238,17.74666666666667,40029.13333333333,62.35999999999999,38.848967433127605,0.22534037171039323,10.869309664609071,0.9837824470813816,6.416399640977553,1.3167719508952225,0.13603298874611558,0.06286186543303063,0.5450374555667512,-0.8568145109201458,0.5504595864437158,0.13310754257004334,0.13861404318158096,0.00849991774226675,0.10947146806523779,0.07752672226463085,0.020736063063551868,0.08826837655430864,0.09163098137542515,0.017280052552959894,0.07659266536987627,0.04165893750605466,0.0,0.04119190905867736,0.07668607105935173,0.2549041265785273,0.08210360104892836,0.03250517993745968,0.5034553547484605,0.09051011310171966,0.4607605173437189,0.06977863604003436,0.2561714552127338,0.2789540942529784,0.21313338491139747,0.191456121561092,-0.01661212565369441,-0.24724408954103183,-0.08560037587554781,0.21209510842202683,0.3452965124319165,0.4219268780631926,0.005748955872461936,-0.021211316762014893,-0.027788869396353572,0.04285967276800717,0.059939048103563576,0.7656459901016235,0.01740510196009926,0.050791252083562416,-0.016139276363001137,0.2052197532220124,-0.029905129731443294,-0.08639259700194732,-0.003481020392019849,-0.0373418551143948,0.12468382131416571,0.11978688425787021,-0.11940726218174624,-1.1027209422703124,0.36480155224631217,0.3419478115625063,0.0,-0.07057688606596646,-0.10178601601788861,0.0711795977653628,0.07024526366017288,0.9656055047321251,0.055424911360030436,-0.02717345964090127,0.29854968106690927,0.25346903506647545,-0.0110376681433166,0.7895228109609733,0.1495256486572165,0.5496356877611014,0.22449038072456978
12.410275230822378,AAL,2019,2020-02-19,59.72,-0.5157328571428571,93.61379310344827,113.1746551724138,20402.331538461534,1.56,-0.02,-0.09,1.86,1.55,1.4696551724137932,1.72,5.9206896551724135,2.79,3.61,3.487142857142857,9817.18,-0.4812,4.058620689655172,14.38,34533.95,53.31,-0.0671665104654795,-0.13269525065646126,-0.042244151236279226,0.01747012176272955,-0.03659855820231461,-0.4157303370786517,-1.1,-1.12,-0.3519163763066202,-0.35950413223140487,0.04230863291758391,0.45060240963855436,0.04658655520724486,-0.26578947368421046,-0.263265306122449,-0.1983579638752052,0.2995209055947208,-0.3273961661341853,0.06805807622504534,-0.031649831649831595,0.18995145291511628,-0.03633405639913223,62.85,-0.5586614285714285,97.42364532019705,111.29040886699507,20640.360294301994,2.39,0.49333333333333335,0.49333333333333335,2.6133333333333337,1.8633333333333335,1.416551724137931,1.5290476190476188,5.6211822660098525,3.5133333333333336,4.373333333333334,4.078095238095238,8196.623666666666,-0.5295285714285715,3.9623973727422004,16.416666666666668,30509.180000000004,56.78666666666666,16.976034725871827,-0.2689532372416238,64.1963529198043,31.69160651988939,48.973296469049146,-0.4837142999361838,0.010989941107234502,0.02589963940465963,-0.004381850869788817,0.17427319300165736,1.1071679833470562,-0.7474813650053173,0.004666982815566125,0.059104003799991006,0.029168642597288286,0.03085208997004607,0.012984212904735759,0.7289160446083494,0.03473568638442788,0.0,0.020618063367340355,0.03436899487749054,0.07615515887257726,0.13335903395480203,0.06132082063738492,0.48128260285525687,0.12509180725294206,0.0377358896230061,-0.0019512071147376022,0.4936667751122769,0.7729915413276459,0.0,0.03500190647578758,0.12388174296341664,0.06696681856946875,0.03683721243331952,-0.0017243338224539606,0.0,0.025692192844748662,0.08196408435360558,0.12305372896668954,0.16203979111056954,0.0312943789055747,0.0,0.021222214061014915,-0.10287856655257503,-0.17521210475494456,-0.15268020612101427,0.00205379476200002,0.050645704875702635,-0.014114376768638439,-0.009877103131946377,-0.09325102174697965,0.0,-0.06963238198397942,-0.0038891007195319535,0.023968221850149175,0.06372049845874161,0.044861953065116644,-0.8273327528315992,1.084262065989785,0.10910002419760811,0.0,-0.09098475450048416,-0.06866658714216345,-0.05800587241291921,0.03845118646198801,-10.44036238420889,-0.7409526186649374,-0.10157517540517413,-1.0,-0.2288071776490884,-0.11233968263284151,-2.820394016093621,0.9554952396998393,5.223692576433004,-14.402317137817104
11.798420863016675,AAL,2020,2021-02-17,65.02,-0.6392671428571429,81.42857142857143,115.17557142857144,22405.20878888889,1.29,1.25,-0.92,1.92,0.04,1.29,1.72,4.328571428571428,2.66,3.42,2.7985714285714285,13965.49,-0.6820285714285714,6.085714285714285,21.5,41932.28,61.09,0.08874748827863366,0.23953154041544233,-0.13016481087793885,0.01767989708569817,0.09816903752650141,-0.17307692307692313,-63.5,9.222222222222223,0.032258064516129004,-0.9741935483870968,-0.12224307836696391,0.0,-0.26890756302521013,-0.04659498207885304,-0.05263157894736836,-0.19746005735354366,0.42255617193532147,0.4173494834342715,0.4994538172108265,0.49513212795549366,0.2142335296136122,0.1459388482461077,62.919999999999995,-0.5832128571428571,90.92840722495896,113.19388505747128,21328.31131282051,1.84,0.4766666666666666,-0.08666666666666667,2.216666666666667,1.3366666666666667,1.3898850574712645,1.541904761904762,5.302134646962233,3.0833333333333335,3.976666666666667,3.5452380952380955,10445.710333333334,-0.6262190476190476,4.648111658456486,16.91,35162.513333333336,56.57333333333333,12.410275230822378,-0.04930223999271921,65.3825212892728,36.015297840934906,18.281213508952433,-8.962492484374726,-0.6267105784780884,-0.19389631032852273,0.13643017176589023,0.1886928281864945,17.528483622578747,5.9347792819680905,0.003951042592471705,0.10674265681457229,0.0216420373840695,0.02602850099693605,0.02056154818531193,0.6408429817944514,0.03272108334744934,0.0,0.029286095297667823,0.01928753853304555,0.07173158143393528,0.10950032327707296,0.06668392293824693,0.5898019621815007,0.13822198391867338,-0.10746835851523036,-0.11072676961832106,0.550839844208392,1.4380593399670198,0.0,0.029588274231062497,-0.453055346399917,-0.6010514732200823,-0.5124596813703515,0.8603817287535793,0.0,-0.15466678217856344,-4.657159929802637,-9.975362516237428,-14.911467440647817,0.30257558697601716,0.0,-0.05126251780702096,-1.5966732357738582,-3.4106986007639946,-5.0173946767890465,0.0052486022515140065,0.13669436633063958,0.26710194534902615,-0.49025697774306576,-0.11293146382927946,0.0,-0.33873671454001963,-0.002480108756209914,-0.16132242304928232,1.555563169516914,1.6990317671779298,-19.92410481364757,48.63570504365645,0.21104800476823993,0.0,3.864643501897638,-0.3622924848013731,0.5082558807377661,0.5860685789681425,-6.743840450449288,16.294367201466,-0.02850644570272176,-1.0,1.1571746526890196,-0.18026327907596107,0.3239980693886597,2.291966552424876,-4.34841244519594,1.2940481295781654
10.63076645604644,AAL,2021,2022-02-22,98.73,-0.46203,62.8,120.723,24008.472,1.94,1.57,-0.51,2.31,0.39,1.26,1.72,6.3,3.34,4.07,3.898571428571429,13381.52,-0.6124571428571428,3.65,28.81,43354.48,92.11,0.5184558597354663,-0.27725051230538544,-0.2287719298245614,0.048164975459825676,0.07155761083137935,0.5038759689922481,0.256,-0.44565217391304346,0.203125,8.75,-0.023255813953488413,0.0,0.4554455445544554,0.2556390977443608,0.19005847953216382,0.393057682491067,-0.04181521736795479,-0.10200661890997453,-0.4002347417840375,0.33999999999999986,0.03391659122756985,0.5077754133246029,74.49,-0.53901,79.2807881773399,116.3577422003284,22272.004109116806,1.5966666666666667,0.9333333333333332,-0.5066666666666667,2.03,0.66,1.3398850574712646,1.72,5.516420361247948,2.93,3.7000000000000006,3.394761904761905,12388.063333333334,-0.591895238095238,4.598111658456486,21.563333333333333,39940.23666666667,68.83666666666667,11.798420863016675,-0.0989670075789858,66.81167560158865,33.92048723584952,30.03750901818454,0.2945108166558425,0.6430806961187217,0.009120019582622577,-0.05816446706444911,0.024627951277217435,-1.0328603697207328,5.867597078735023,0.004107239830317744,0.18291509837730077,0.022642475987649093,0.027005478005202744,0.02414695944197794,0.5624812290699248,0.02990913107205741,0.0,0.03172955605179531,0.02665944681070711,0.060119158834980584,0.13514774870236004,0.06401577098169228,0.6346061658704495,0.09600108922072352,-0.12995728078492552,-0.11041410313648958,0.5077029864978114,0.9990631511315543,0.0,0.03674330396725663,0.05314045013340053,-0.03543821393563276,-0.0666934470006762,-0.30526987074506495,0.0,0.24181977226243911,-1.1172935063136697,-0.9410396355144501,-0.8698562063998216,0.18446250806202014,0.0,0.03761506097620811,-1.8974964505875669,-3.5977828075950633,-5.206427951979023,0.003279457002542028,0.07813808266260858,0.03483586469026788,0.00980476831409513,-0.013787104949462413,-0.0007696684801884348,-0.6510056788515577,0.0,-0.014791020358403854,-0.3751751713332746,-0.4283737892049895,-0.8695783939546103,-1.019999242762912,-0.8779161760419166,0.0,0.9218633555431897,-1.0,0.41470283221412707,0.4385066436793523,-7.207005320144593,16.23332262229444,-0.18592271569202287,0.0,1.565174034313448,-0.47698635731451217,-1.50855378572695,1.2511128464697847,21.250685247046384,0.2715627296968429
10.25531790830629,AAP,2019,2020-02-18,57.35,-0.5301842857142857,94.02413793103447,113.17689655172414,20424.35267032967,1.55,-0.03,-0.1,1.85,1.55,1.466896551724138,1.72,5.886206896551724,2.76,3.6,3.4842857142857144,9732.742,-0.5024000000000001,4.027586206896552,14.83,34363.17,52.1,-0.1292134831460674,-0.09380165793746731,-0.02824602758417072,0.017800075107073265,-0.03468451705896691,-0.41509433962264153,-1.15,-1.1282051282051282,-0.3485915492957746,-0.3568464730290457,0.0403521643433602,0.4773006134969324,0.02496139989706636,-0.2620320855614974,-0.2697768762677484,-0.20006559527714007,0.29999281398670674,-0.2535393628085666,0.05989110707803991,-0.0033602150537634934,0.190584371938062,-0.07163221667854591,62.67333333333334,-0.5602871428571429,97.23185550082103,111.27987027914612,20641.307849369146,2.38,0.49,0.5,2.6,1.86,1.415632183908046,1.5219047619047619,5.638259441707717,3.483333333333333,4.38,4.0790476190476195,8145.912666666666,-0.5224666666666667,3.9520525451559934,16.576666666666668,30399.296666666665,56.65,12.869966784331307,-0.2031589451503676,12.037054353674751,0.35166469514465004,10.38974780182408,0.4239348944107636,-0.0029220890326057125,-0.012765486029567508,1.1673884642110122,-7.680948328836479e-05,-0.3694738329227878,0.2577047065014191,0.03721645138973216,0.0,0.06128907246420704,0.393989382735902,0.013799861775389412,0.33766401497390613,0.0630924478343562,0.0,-0.025029200280773253,0.3041912097782126,0.0,0.02969146830530044,0.06415436542551319,0.06643163018779843,0.2199591704123436,0.33538034990469273,0.3155721558908317,0.029215178798066285,0.561374513121023,0.0,0.3684437340775867,0.09443422359799632,0.06974091542760082,0.05014408688685006,0.0045484753349676055,0.0,-0.023485627171058177,0.05627717253096454,0.10582234554939962,0.13355594423246897,0.0037926840194201597,0.0,0.005741423403506696,-0.047892326958502505,-0.03945000636283513,0.02054426989580112,0.0038556371891941793,0.024549177104156397,-0.10078982473658717,0.04080319392703019,-0.04857373708555638,0.0,0.0,-0.0017698361316390255,0.05098909738787411,0.3307885136004578,-0.012455443321883308,-4.867362123366062,-0.36762597973366273,1.4025399160038838,0.0,0.0,-0.048339433209599325,0.2869932600744957,-0.030962129538726974,-1.674933702180417,0.2789213459861035,0.38251956108668234,-1.0,0.0,-0.014827837635852234,1.2930098955945415,0.39120103577561055,0.3584217453850571,0.13715316519803078
12.180344914740076,AAP,2020,2021-02-22,64.73,-0.6436700000000001,82.875,115.262,22444.24951111111,1.37,1.34,-0.79,2.02,0.03,1.2775,1.72,4.275,2.81,3.53,2.901428571428572,13533.05,-0.5674142857142858,6.05,23.45,41316.56,61.67,0.12868352223190938,0.214049562281579,-0.1185774012542633,0.018423401876220602,0.0988964925050344,-0.11612903225806448,-45.66666666666667,6.9,0.09189189189189184,-0.9806451612903225,-0.12911377527033374,0.0,-0.2737258347978909,0.018115942028985588,-0.019444444444444486,-0.167281672816728,0.3904663249061775,0.1294074158325751,0.502140410958904,0.5812542144302091,0.20235007422190665,0.18368522072936666,62.64666666666667,-0.5863061904761905,91.21876026272578,113.21215599343186,21342.27244196174,1.8566666666666667,0.5033333333333333,-0.03666666666666666,2.236666666666667,1.33,1.3847988505747126,1.5347619047619048,5.301354679802956,3.1033333333333335,4.02,3.580476190476191,10250.852666666666,-0.580952380952381,4.625862068965517,17.72,34847.39,56.629999999999995,10.25531790830629,0.18771012499520956,12.645342620912954,0.21144894033970263,10.794219242064756,0.7505878779723992,0.038929861239717756,0.012489791559449107,-0.39872002148885755,0.0208585146888363,0.7705262951181637,0.29052065974943825,0.07051955840404987,0.0,0.06334144313176533,0.3832752762058807,0.012398977342126591,0.32452727619936433,0.057524832881123755,0.0,-0.02450185415662585,0.30747151420440166,0.0,0.0,0.09317758292029926,0.0872410460440927,0.15356815542020527,0.3544282777121475,0.30069906297213,0.016721487640042818,0.5565017570486407,0.0,0.369210609955454,0.09388493566916638,0.07419489817390933,0.04877890577444796,-0.008680045065266206,0.0,0.0020813921012585723,-0.00581661931344124,0.0638647015026963,-0.027225166458462513,-0.004519352642307221,0.0,-0.0050219252621709716,-0.029392528906670694,0.06885103189584803,-0.007181628731925589,0.004479058383547622,0.024742713870159118,0.030497390193206197,0.06953609715905902,-0.026496404087922844,0.0,0.0,-0.005574904524701416,0.046147133712811005,0.16169083442307408,0.007883635576931614,-1.3025840185049504,0.7041826991145081,-0.4545117242831689,0.0,0.0,2.1499551992638772,0.08754311834896733,-0.02321014858258937,-2.2090354167232715,0.26830669097585624,0.3156162987807379,0.0,0.0,0.6927052025325401,0.743815663384182,0.3801811419005077,2.3315902755133986,0.13847156894502421
13.752225503918345,AAP,2021,2022-02-15,98.43,-0.5013428571428571,62.8,120.723,24008.472,2.05,1.65,-0.43,2.42,0.41,1.26,1.72,6.3,3.31,4.04,3.854285714285714,14139.76,-0.7939285714285714,3.7,25.7,45297.9,92.07,0.520624131005716,-0.22111818611577827,-0.2422322775263952,0.04737901476635842,0.06969368648813656,0.4963503649635035,0.23134328358208944,-0.45569620253164556,0.19801980198019797,12.666666666666666,-0.013698630136986356,0.0,0.4736842105263157,0.17793594306049831,0.14447592067988668,0.32840965041851256,0.04483172677260483,0.39920441098718484,-0.38842975206611563,0.09594882729211096,0.09636184619435895,0.4929463272255552,73.50333333333334,-0.5583990476190476,79.89971264367816,116.38729885057471,22292.35806048026,1.656666666666667,0.9866666666666667,-0.44,2.0966666666666667,0.6633333333333333,1.3347988505747128,1.72,5.487068965517241,2.9600000000000004,3.723333333333333,3.4133333333333336,12468.517333333331,-0.621247619047619,4.592528735632183,21.326666666666664,40325.87666666667,68.61333333333333,12.180344914740076,0.1290505810944691,12.830393685644816,2.914857708233838,11.571863827871997,0.8664735779460723,0.07204268955153181,0.036016820586214617,12.78516110580163,4.517943182841261,0.15439324744588312,0.1851485698804197,0.049316940349952515,0.0,0.06418816741461586,0.3820382702424148,0.019044029894808228,0.3444088350053256,0.053399625464519505,0.0,0.006039362939062281,0.3216035589814512,0.0,0.0,0.10318027435095349,0.27650074933120794,0.008448761334718382,0.37767367001760505,0.2565970702668301,0.22718380898125543,0.5518023334026848,0.0,0.37185681858560504,0.10042789543543891,0.07625434509265651,0.05601521376858513,-0.008444580069034924,0.0,0.007167206355392475,0.06969126324300579,0.027757257836245497,0.14834912508283016,-0.004192049933111175,0.0,-0.00474567623813571,0.04005060548684303,0.06581476829611381,0.08489330095227887,0.005733915947761363,0.023632549099361855,0.009454365223901699,0.07487761615886661,-0.026333354705212763,0.0,0.0,-0.014630954760706825,0.08211100013581606,0.2801610197409028,-0.04486835100720998,-0.6899942859370367,0.07681649126193024,-0.006153641911900043,0.0,0.0,1.6244314491628784,0.25754678925481156,-0.016480052917387227,-2.28664680926935,0.13779107021425854,0.31395818326960495,0.0,0.0,1.2420157384057189,1.2920009992207426,0.3818659645207067,2.5081856737806407,0.196887269594393
1215.2018206180635,AAPL,2019,2019-10-31,59.3,-0.55071,96.75806451612902,112.5748387096774,21624.971804347824,1.69,0.15,0.15,2.0,1.51,1.4303225806451612,1.3809677419354838,5.5,2.99,3.87,3.78,8292.359,0.2697571428571428,3.6,13.22,30945.65,54.02,-0.18409466152999465,-0.01114300445566263,-0.008694100306034347,0.015464843259427097,0.035433359560008704,-0.47187500000000004,-0.8214285714285714,-0.868421052631579,-0.4011976047904191,-0.34913793103448276,0.040991688970277274,0.38281149058960295,-0.16750756811301715,-0.29647058823529404,-0.2586206896551724,-0.2274452554744526,0.1314676568717721,-1.2987485563307861,-0.055944055944055826,-0.33767535070140275,0.0933421472513154,-0.1441698352344739,64.46666666666668,-0.5836552380952381,97.56379928315414,110.68247956989246,20828.80499637681,2.4099999999999997,0.7166666666666665,0.59,2.643333333333333,1.663333333333333,1.3878853046594983,1.2772114695340502,5.646666666666666,3.59,4.446666666666666,4.2023809523809526,7461.883666666666,-0.45293333333333335,3.8688888888888893,14.106666666666667,28703.27666666667,57.589999999999996,1056.6444996414928,0.15005739492361658,363.69022530962815,-105.12753987380636,279.52244236623727,63.276711911566565,-0.03690466199783704,0.04834289588755025,-0.2154153517372681,-0.14310064409076959,-0.09695081810026573,0.03221353499588605,0.14428820370260648,0.1527634075438721,0.1353078552615303,0.0121293785194272,0.03648857366584627,0.11041692895741594,0.0,0.31118384379322467,0.0974190562137531,0.13658401003999904,0.047973966672064716,0.016312330293296883,0.11142721815703702,0.27120356885851266,0.1491889925393648,0.13558553708832674,0.26730991343972516,-0.2890579195091259,0.6218200920968935,0.06233113964183483,0.07012589521892315,0.3146380443920498,0.24571929193454403,0.21238018450078472,0.008530233788059283,0.1628895848660339,0.1149447098385401,-0.039982305730272394,-0.07949391482476009,-0.05247165933082265,0.00684311292817504,0.10279744456197341,0.023705327789300384,-0.025528239320866303,-0.04019794381986408,0.0019135491015114987,0.023322769645844097,0.048225245673435384,-0.013406364621737676,0.22637435254182503,-0.04033824446821586,-0.0023983863314117858,-0.15616800485832097,-0.054267334316030445,0.25412133123016295,0.16000606149148466,0.1747618362140888,-1.102630878316036,-0.06234705302071952,-0.19524727781572093,-0.11650261487253,-0.4335752617970584,0.05113640373293116,0.06457609351686999,0.003593855621704667,-6.428292624300579,-0.01960175253272282,-0.13626622763735521,0.27233743665064203,-0.3308315234949561,-0.011135930836784103,1.36229507487698,0.1436648786787015,-1.195332107155742,0.6106382178800638
